company,highest_hourly_price,datetime,hour
BYND,104.7099991,5/11/21 9:55,5
BYND,106.4609985,5/11/21 10:55,6
BYND,107.6949997,5/11/21 11:55,7
BYND,108.8399963,5/11/21 12:55,8
BYND,110.6600037,5/11/21 13:45,9
BYND,110.6999969,5/11/21 14:55,10
BYND,110.6999969,5/11/21 14:50,10
BYND,110.6999969,5/11/21 14:45,10
BYND,110.6800003,5/11/21 15:30,11
DDOG,77.04000092,5/11/21 9:55,5
DDOG,77.48000336,5/11/21 10:20,6
DDOG,78.61000061,5/11/21 11:45,7
DDOG,78.56500244,5/11/21 12:00,8
DDOG,79.09999847,5/11/21 13:40,9
DDOG,78.875,5/11/21 14:25,10
DDOG,78.75,5/11/21 15:50,11
FB,303.8599854,5/11/21 9:55,5
FB,303.8699951,5/11/21 10:00,6
FB,305.8399963,5/11/21 11:35,7
FB,306.589386,5/11/21 12:05,8
FB,306.4599915,5/11/21 13:40,9
FB,306.8299866,5/11/21 14:25,10
FB,306.8399963,5/11/21 15:25,11
NFLX,492.1199951,5/11/21 9:55,5
NFLX,492.2749939,5/11/21 10:00,6
NFLX,495.3291016,5/11/21 11:35,7
NFLX,495.9700012,5/11/21 12:05,8
NFLX,496.8200073,5/11/21 13:25,9
NFLX,497.9899902,5/11/21 14:25,10
NFLX,496.6700134,5/11/21 15:50,11
NFLX,496.6700134,5/11/21 15:25,11
OKTA,231.4600067,5/11/21 9:50,5
OKTA,231.8200073,5/11/21 10:00,6
OKTA,239.2299957,5/11/21 11:50,7
OKTA,238.7299957,5/11/21 12:15,8
OKTA,240.5299988,5/11/21 13:20,9
OKTA,239.4998932,5/11/21 14:25,10
OKTA,238.2100067,5/11/21 15:15,11
PINS,58.77999878,5/11/21 9:55,5
PINS,58.65999985,5/11/21 10:05,6
PINS,59.49000168,5/11/21 11:55,7
PINS,59.80500031,5/11/21 12:15,8
PINS,60.02999878,5/11/21 13:35,9
PINS,60.20000076,5/11/21 14:50,10
PINS,60.34000015,5/11/21 15:45,11
SHOP,1076.579956,5/11/21 9:55,5
SHOP,1076.5,5/11/21 10:00,6
SHOP,1104.300049,5/11/21 11:30,7
SHOP,1101.400024,5/11/21 12:00,8
SHOP,1117.98999,5/11/21 13:45,9
SHOP,1116,5/11/21 14:50,10
SHOP,1121.589966,5/11/21 15:20,11
SNAP,52.63999939,5/11/21 9:55,5
SNAP,52.63000107,5/11/21 10:00,6
SNAP,52.25,5/11/21 11:55,7
SNAP,52.54999924,5/11/21 12:00,8
SNAP,52.66999817,5/11/21 13:35,9
SNAP,53.27000046,5/11/21 14:50,10
SNAP,53.65000153,5/11/21 15:45,11
SQ,215.5099945,5/11/21 9:55,5
SQ,215.5,5/11/21 10:00,6
SQ,219.9400024,5/11/21 11:55,7
SQ,221.4730988,5/11/21 12:10,8
SQ,221.7799988,5/11/21 13:35,9
SQ,221.4049988,5/11/21 14:30,10
SQ,221.0399933,5/11/21 15:55,11
TTD,494.8399963,5/11/21 9:40,5
TTD,490.8999939,5/11/21 10:00,6
TTD,494.5,5/11/21 11:50,7
TTD,491.4400024,5/11/21 12:00,8
TTD,497.2200012,5/11/21 13:35,9
TTD,508.6698914,5/11/21 14:45,10
TTD,515.531311,5/11/21 15:50,11
